question,Doc,Topic,Probability
What are the tax consequences if my S corporation earns money in a foreign country?,209,22,0.560158371925354
Can limits be placed by a merchant on which currency notes are accepted as legal tender? [duplicate],210,12,0.9636279344558716
Do I need to pay taxes in India?,211,22,0.8985062837600708
Capital gains tax when I sell my home if I use a portion of it for an AirBnB,212,27,0.5132879614830017
Condo Purchase - Tax Strategies [US],213,18,0.9218205809593201
Will depositing $10k+ checks each month raise red flags with the IRS?,214,0,0.7262242436408997
Is issuer's bank allowed to charge fee when cashing check?,215,13,0.9364349842071533
"How to invest 10k dollars, at the age of 23?",216,32,0.5604865550994873
Employer options when setting up 401k for employees,217,18,0.6104986071586609
Investment time horizon: When is it acceptable to withdraw money from investments?,218,14,0.7692915797233582
Tax rules for United States citizens living in the US but being paid from outside the US,219,18,0.44562673568725586
Estimated Taxes after surge in income,220,22,0.49657702445983887
How to reconcile a credit card that has an ongoing billing dispute?,221,20,0.9464408159255981
Income tax on international income with money not deposited in India,222,18,0.46496519446372986
How to represent “out of pocket” purchases in general ledger journal entry?,223,25,0.8984500765800476
Can this check still be honored? [duplicate],224,27,0.5538342595100403
What does the phrase “To make your first million” mean?,225,17,0.6299840807914734
Is it ok to use a check without a pre-printed check number?,226,27,0.7755337953567505
Why would selling off some stores improve a company's value?,227,25,0.6756129860877991
How important is reconciling accounts for a small LLC (Quickbooks)?,228,22,0.9364224076271057
Get the maximum interest rate from a bank on short term holdings,229,17,0.43366003036499023
Following an investment guru a good idea?,230,30,0.5077081918716431
"If a stock is selling for less than book value, is the company headed for bankruptcy?",231,25,0.6381745934486389
How do I get bill collectors who call about people I know to stop calling me?,232,4,0.6435980200767517
Is there a reason to buy a 0% yield bond?,233,25,0.34683507680892944
What are the implications of lending money to my sole member S-corp?,234,18,0.8552663326263428
"Are you allowed to have both a 401(k) and a SIMPLE IRA? If so, what about limits?",235,12,0.8984683156013489
Foreign Earned Income Exclusion - Service vs. Product?,236,20,0.47485947608947754
What is a good open source Windows finance software,237,15,0.5927883386611938
How to find out if a company has purchased government (or other) bonds?,238,7,0.38755542039871216
Should a retail trader bother about reading SEC filings,239,0,0.9364334344863892
What should I be aware of when renting a home to a corporation instead of an individual?,240,7,0.6670476198196411
Quickbooks custom field for computing a value,241,5,0.7241547703742981
Are individual allowed to use accrual based accounting for federal income tax?,242,18,0.5742687582969666
"If I take a loss when I sell my car, can I claim a capital loss deduction on my income tax return?",243,18,0.7140467762947083
"After a stock dividend, how do you calculate holding periods for capital gains taxes?",244,1,0.5790558457374573
How to know if I can have NOL (U.S. tax)?,245,18,0.433057576417923
What does “Income generated in the U.S.” mean?,246,18,0.855315089225769
Will one’s education loan application be rejected if one doesn't have a payslip providing collateral?,247,27,0.9537252187728882
"Is there a dollar amount that, when adding Massachusetts Sales Tax, precisely equals $200?",248,22,0.3895963728427887
Do the activities of my LLC need to be limited to a particular field?,249,12,0.3812324106693268
Deductible expenses paid with credit card: In which tax year would they fall?,250,27,0.3660295903682709
Transfering funds from India to the US,251,19,0.855263352394104
Replacement for mint.com with a public API? ,252,0,0.02857142873108387
Expensive agenda book/organizer. Office expense or fixed asset?,253,19,0.4491633176803589
Are ACH transfers between individuals possible?,254,25,0.49210813641548157
Can we amend last year's Schedule C to indicate reduced income due to a customer refund this year for a product we sold last year?,255,18,0.8932685852050781
How do Islamic Banking give loans for housing purposes?,256,11,0.48433756828308105
"What is a clearing bank, in specific, what does RMB clearing bank do?",257,0,0.02857142873108387
Canadian accepting money electronically from Americans,258,22,0.4973584711551666
How does a Value Added Tax (VAT) differ from a Sales Tax?,259,18,0.6034253239631653
Changing Mailing Adress,260,29,0.8984580039978027
Self-directed RRSP into mortgage investment,261,14,0.4305012822151184
Paying myself a distribution caused a negative Owner's Equity account balance? Is this normal?,262,22,0.8478748798370361
Is it wise to have plenty of current accounts in different banks?,263,7,0.5057598948478699
How May Cash be Spent Approaching Bankruptcy?,264,25,0.49966996908187866
"Accidentally opened a year term CD account, then realized I need the money sooner. What to do?",265,22,0.8064782023429871
Taxation of shares,266,15,0.4448266625404358
ACH debit blocks/filters on consumer account,267,20,0.7112911343574524
Where should I invest to hedge against the stock market going down?,268,25,0.7355386018753052
LLC in states with customers with and without employees in the state,269,18,0.9218319654464722
FATCA compliance for small Foreign Company. What do I need to do?,270,22,0.7177596688270569
is the bankruptcy of exchange markets possible?,271,25,0.8984962701797485
Filing Form 7004 if an LLC's only members are husband and wife,272,18,0.8984888195991516
What to do if my aging father is sustaining a hobby that is losing several thousand dollars every month?,273,0,0.4862569570541382
"What tax rules apply to selling of digital goods, specifically in-game currencies?",274,26,0.5194119215011597
What is the field “Folio” in an accounting book for? ,275,0,0.02857142873108387
How much can you write off on a car lease through a LLC?,276,27,0.9364377856254578
Is there a difference between managerial accounting and financial accounting?,277,22,0.5703538656234741
How to register LLC in the US from India? [duplicate],278,0,0.02857142873108387
How can a company charge a closed credit card?,279,20,0.7506486773490906
How long does a bank's “Know Your Customer” (KYC) process typically take?,280,22,0.4062027335166931
Sage Instant Accounts or Quickbooks?,281,22,0.9217881560325623
Asset protection: When should an individual seriously consider shielding their assets?,282,31,0.5940971374511719
What prevents interest rates from rising?,283,29,0.8552737236022949
Sales Tax Licence/Permit - When is it required and how can I make a use of it as a non-US resident selling in USA?,284,10,0.3677578866481781
Is expense to freelancers tax deductible?,285,18,0.9218316674232483
What IT form to use in India?,286,27,0.4332478940486908
Can dividends be exploited?,287,1,0.8552653193473816
How to prevent misusing my Account details,288,22,0.8984557390213013
Why does the Brexit cause a fall in crude oil prices? ,289,29,0.9364408850669861
Why can't I short a stock that sells for less than $5? Is there another way to “go short” on them?,290,17,0.7135483622550964
Tax exemption on personal loan interest component in India,291,27,0.7176921367645264
Is having a 'startup fund' a good idea?,292,0,0.02857142873108387
"Supporting a Kickstarter project: Should a customer's pledge payment include sales tax, e.g. GST/HST in Canada?",293,18,0.7648891806602478
"Are marijuana based investments promising, or just another scam?",294,15,0.6557140946388245
Does a US LLC owned by a non-resident alien have to pay US taxes if it operates exclusively online?,295,22,0.9537222981452942
Buying from an aggressive salesperson,296,25,0.8984078168869019
Would extending my mortgage cause the terms to be re-negotiated?,297,17,0.6686131954193115
Landlord Tax Relief Changes UK,298,18,0.6472241878509521
Are there any viable alternatives to Paypal for a small site?,299,22,0.9364203214645386
How do I report book royalties for tax purposes?,300,18,0.8984770774841309
Do I live in a state for tax purposes if my permanent home is in another state?,301,18,0.8058445453643799
183 day rule in conjunction with expatriate,302,26,0.9218056201934814
Would I need to keep track of 1099s?,303,27,0.9218354225158691
Receiving important daily wires from abroad?,304,22,0.9364252090454102
Reporting software subscriptions,305,32,0.4976930618286133
"Can you lease a secondary residential apartment for a job in NYC, and declare it as expense in tax return?",306,18,0.7440542578697205
Does the low CAD positively or negatively impact Canadian Investors?,307,6,0.9364266395568848
Credit and Debit ,308,0,0.02857142873108387
1099 for settlement what about lawyer fees?,309,13,0.8984769582748413
Individual Client or Customer fining or charging a Company a penalty fee,310,13,0.7758862972259521
Tax intricacies of MLP in a Roth IRA,311,18,0.8984484672546387
I am a Resident Alien for tax purposes. Can I claim exemptions from the India - US Tax Treaty (21)?,312,18,0.9218353033065796
"Loan to S-Corp cannot be paid back, how to deduct from personal taxes?",313,27,0.5606489777565002
Mortgage implications if I were to quit my job shortly after being approved?,314,7,0.7536159753799438
Can my U.S. company do work for a foreign company and get wire transfers to my personal account?,315,22,0.515672504901886
What tax-free retirement accounts are available for self-employed individuals?,316,18,0.3472859859466553
How to know more about my tax situation in the States,317,18,0.640068531036377
"Beyond RRSP deductions, how does a high income earner save on taxes?",318,18,0.3790765404701233
Freelance trading of products in India,319,25,0.8984525799751282
Cost is (maybe) part of basis for two assets,320,29,0.6224902272224426
Online tool to connect to my bank account and tell me what I spend in different categories? ,321,7,0.47805628180503845
Receive credit card payment sending my customer details to a credit card processing company?,322,20,0.7692986726760864
Obtaining California SOS number for out-of-state LLC,323,0,0.02857142873108387
How to categorize credit card payments?,324,20,0.7414500713348389
Can an Indian citizen/resident invest in a US company and collect the profits in India?,325,1,0.4870503544807434
What would happen if the Euro currency went bust?,326,17,0.6930972933769226
How does LLC ownership work in relation to U.S. tax law?,327,18,0.936429500579834
S Corp with Straddles Income,328,0,0.02857142873108387
Executor of will ,329,0,0.02857142873108387
Online streaming video/audio financial/stock programs,330,14,0.6264230012893677
What does this statement regarding put options mean?,331,4,0.3988155424594879
Prepaid Rent (Accrual Based Accounting),332,7,0.5161902904510498
Is a robo-adviser worth the risk?,333,16,0.9218078255653381
What are the ins/outs of writing-off part of one's rent for working at home?,334,27,0.39327272772789
How do I determine if sale proceeds from an asset are taxable?,335,10,0.48065194487571716
What tax laws apply to Meetup group income?,336,18,0.9464431405067444
"Self employed, putting away tax money",337,22,0.41812482476234436
Where on schedule C should a PO Box Rental fee go?,338,18,0.44412368535995483
Switching Accountants - who does the audit review for past years?,339,27,0.9364153146743774
"How much house can I afford, waiting around 3 years or so",340,27,0.9218313097953796
"What are the tax implications if I do some work for a company for trade, rather than pay?",341,22,0.5068576335906982
why the currency data(such as USD/JPY) is different from different source,342,7,0.5651984214782715
Loan to son - how to get it back,343,27,0.8552430868148804
Ghana scam and direct deposit scam?,344,22,0.5903512835502625
"Can anybody explain the terms “levered beta riders”, “equity long-short” and “the quant process driven discipline” for me, please?",345,17,0.6794598698616028
what would you do with $100K saving? ,346,22,0.43005746603012085
The formula equivalent of EBITDA for personal finance?,347,0,0.8984880447387695
What's the least risky investment for people in Europe?,348,14,0.7192257046699524
How do multi-currency bank accounts work? What is the advantage?,349,22,0.8984896540641785
what is the meaning of allowing FDI in Insurance and pension funds,350,27,0.30786556005477905
What are “upstream investments” and “downstream investments” in this context?,351,14,0.9364265203475952
I am the sole owner of an LLC. Does it make a difference if I file as an S-Corp or a sole-member LLC?,352,18,0.37761980295181274
How do the wealthy pay for things?,353,27,0.8984686136245728
"As an employer, how do I start a 401k or traditional IRA plan?",354,18,0.687824010848999
Acquiring first office clothes,355,14,0.9218035340309143
How can I import customers and invoices from a previous year's Gnucash file?,356,18,0.9537275433540344
us citizen receiving bank transfer from foreign boyfriend,357,22,0.9364341497421265
Why does it take 3 days to do electronic transfers between banks? [duplicate],358,22,0.5602941513061523
Swiss-style Monetary Policy,359,27,0.6445668339729309
Why does capital gains tax apply to long term stock holdings?,360,18,0.6475763320922852
Self Assessment UK - Goods and services for your own use,361,20,0.709661602973938
Early Retirement Options (UK),362,26,0.5809057950973511
Online accounting with Stripe/PayPal transactions,363,20,0.6023923754692078
How to handle taxes related to affiliate marketing?,364,22,0.9364120364189148
How does per-annum depreciation for taxes work after the first year of depreciation?,365,22,0.8019149899482727
How to categorize shared income?,366,15,0.43122491240501404
How prudent would it be to invest (stocks/equity) in businesses that are based on Cash transactions?,367,27,0.3363395631313324
Why buy stock of a company instead of the holding company who has more than 99% of the stocks,368,17,0.4962023198604584
Do I have to pay taxes in the US if my online store sells to US customers even though I don't live in the US?,369,22,0.8258198499679565
Is it possible to block previously authorized ACH access?,370,25,0.9464169144630432
How can a school club collect money using credit cards?,371,20,0.7262569665908813
Advantages of Shareholder over Director in new Company,372,17,0.8984924554824829
What options are available for a home loan with poor credit but a good rental history?,373,20,0.3574424088001251
Can I pay estimated taxes based on last year's taxes if I anticipate more income this year?,374,22,0.4546705186367035
Multi-state K-1 earnings to S-Corp,375,0,0.02857142873108387
Bank statements - should I retain hardcopies for tax or other official purposes (or keep digital scanned copies)?,376,11,0.5174576640129089
Multiple SEO companies claiming I have a past-due invoice,377,18,0.670410692691803
Paid part of my state refund back last year; now must declare the initial amount as income?,378,18,0.47842368483543396
"Self Employed, but not required to pay estimated taxes?",379,22,0.9218364953994751
Are services provided to Google employees taxed as income or in any way?,380,18,0.6287961602210999
Taxes due for hobbyist Group Buy,381,22,0.667780339717865
LLC Partnership Earned Income vs. Partnership Share,382,18,0.6510986685752869
What significant negative factors affect Yahoo's valuation?,383,25,0.936440110206604
How do I tell the Canada Revenue Agency that they're sending someone else's documents to my address?,384,28,0.9218149185180664
Advice on what to do with my equity?,385,1,0.4409959018230438
"Child is on the way, invest for college and car fund options - opinions",386,27,0.392781138420105
"If I were to get audited, what would I need?",387,27,0.898485004901886
Getting a mortgage while self-employed,388,5,0.42997071146965027
Tax liability in US for LLC's owned by an Indian Citzen,389,18,0.8984917402267456
What can I expect to pay when meeting my first financial planner?,390,14,0.7560177445411682
How to systematically find sideways stocks?,391,26,0.640296459197998
Who Can I Hire To Calculate the Value of An Estate?,392,18,0.4157140851020813
Will the ex-homeowner still owe money after a foreclosure?,393,22,0.9218236207962036
Is it ok to just report to 1 credit bureau instead of all 3,394,27,0.8552430272102356
Why do stocks track the price of Oil? ,395,29,0.9218352437019348
"(Almost) no credit unions in New York City, why?",396,20,0.8984781503677368
The Intelligent Investor: Northern Pacific Railway example,397,25,0.8552002906799316
Why is a home loan (mortgage) cheaper than gold loan?,398,27,0.5509437322616577
Is human interaction required to open a discount brokerage account?,399,22,0.9537297487258911
Transfering money from NRE account in India to family member,400,18,0.8553018569946289
"Can saving/investing 15% of your income starting age 25, likely make you a millionaire?",401,22,0.6593080759048462
Can a Zelle Bank Transfer be reversed or denied after credit has been added?,402,20,0.6677120923995972
"Setting up a LLC for two partners in different states, what should we look into?",403,7,0.7046607136726379
What are the procedures or forms for a private loan with the sale of a vehicle?,404,27,0.39744359254837036
What is the point of owning a stock without dividends if it cannot be resold?,405,25,0.7305735349655151
Does setting up a company for your own improves credibility?,406,17,0.9218003153800964
How to account for startup costs for an LLC from personal money?,407,22,0.7290003895759583
What should I do with my freshly opened LLC in California after I've moved?,408,20,0.5099833607673645
Why don't banks print their own paper money / bank notes? ,409,11,0.8553114533424377
Should I use an NRE or NRO account to transfer money from India to the US? Any reports needed?,410,22,0.7554235458374023
What's the point of a chargeback when they just ask the merchant whether they owe money to the buyer?,411,20,0.7639192342758179
Corporate Equity Draw vs Income,412,1,0.5363122224807739
What happens if a bank no longer use an intermediary bank? ,413,11,0.3314053416252136
How quickly will the funds be available when depositing credit card checks?,414,20,0.7935964465141296
