	qapairs	context	context_id
10	"[{""answer"": ""July 19, 2013"", ""question"": ""When did Kanye West leave LAX?""}, {""answer"": ""Daniel Ramos"", ""question"": ""Who did Kanye become increasingly agitated as a photographer?""}, {""answer"": ""\""I told you don't talk to me, right?"", ""question"": ""What did Daniel Ramos say to Kanye?""}, {""answer"": ""$250,000"", ""question"": ""How much did Daniel Ramos pay him?""}, {""answer"": ""grabbed him and his camera"", ""question"": ""What was the name of the man who allegedly charged Kanye?""}, {""answer"": ""TMZ"", ""question"": ""Who captured the incident?""}, {""answer"": ""released the man, and his camera, and drove away from the scene"", ""question"": ""What was the name of the man who was captured by TMZ?""}, {""answer"": ""Medics"", ""question"": ""Who was called to the scene on behalf of the photographer who was grabbed?""}, {""answer"": ""attempted robbery"", ""question"": ""What was the name of the felony charges that Kanye could be charged with behind the matter?""}, {""answer"": ""misdemeanor criminal battery and attempted grand theft"", ""question"": ""What were the charges reduced to?""}, {""answer"": ""two years"", ""question"": ""How long was Kanye sentenced to serve for the misdemeanor battery conviction?""}]"	"On July 19, 2013, West was leaving LAX as he was surrounded by dozens of paparazzi. West became increasingly agitated as a photographer, Daniel Ramos, continued to ask him why people were not allowed to speak in his presence. West then says, ""I told you don't talk to me, right? You trying to get me in trouble so I steal off on you and have to pay you like $250,000 and shit."" Then he allegedly charged the man and grabbed him and his camera. The incident captured by TMZ, took place for a few seconds before a female voice can be heard telling West to stop. West then released the man, and his camera, and drove away from the scene. Medics were later called to the scene on behalf of the photographer who was grabbed. It was reported West could be charged with felony attempted robbery behind the matter. However, the charges were reduced to misdemeanor criminal battery and attempted grand theft. In March 2014, West was sentenced to serve two years' probation for the misdemeanor battery conviction and required to attend 24 anger management sessions, perform 250 hours of community service and pay restitution to Ramos."	4751
11	"[{""answer"": ""Voting results"", ""question"": ""What has been a consistent source of controversy?""}, {""answer"": ""Ruben Studdard"", ""question"": ""Who beat Clay Aiken in a close vote?""}, {""answer"": ""power voting"", ""question"": ""What has been expressed since the first season?""}, {""answer"": ""2004"", ""question"": ""In what year did DialIdol, Vote for the Worst and Vote for the Girls begin voting?""}]"	Voting results have been a consistent source of controversy. The mechanism of voting had also aroused considerable criticisms, most notably in season two when Ruben Studdard beat Clay Aiken in a close vote, and in season eight, when the massive increase in text votes (100 million more text votes than season 7) fueled the texting controversy. Concerns about power voting have been expressed from the very first season. Since 2004, votes also have been affected to a limited degree by online communities such as DialIdol, Vote for the Worst (closed in 2013), and Vote for the Girls (started 2010).	6005
12	"[{""answer"": ""1970"", ""question"": ""When did Margaret Thatcher become Secretary of State for Education?""}, {""answer"": ""Conservative"", ""question"": ""What government did Margaret Thatcher become Secretary of State for Education?""}, {""answer"": ""more comprehensive schools"", ""question"": ""What was established under Margaret Thatcher?""}]"	In 1970 Margaret Thatcher became Secretary of State for Education of the new Conservative government. She ended the compulsion on local authorities to convert, however, many local authorities were so far down the path that it would have been prohibitively expensive to attempt to reverse the process, and more comprehensive schools were established under Mrs Thatcher than any other education secretary.	7221
13	"[{""answer"": ""Bantu-speaking tribes"", ""question"": ""Who built trade links leading into the Congo River basin?""}, {""answer"": ""Congo-Brazzaville"", ""question"": ""What was formerly part of the French colony of Equatorial Africa?""}, {""answer"": ""1960"", ""question"": ""When did Congo-Brazzaville become the Republic of the Congo?""}, {""answer"": ""Marxist\u2013Leninist one-party state"", ""question"": ""What was the People's Republic of the Congo?""}, {""answer"": ""1992"", ""question"": ""When have multi-party elections been held?""}]"	The region was dominated by Bantu-speaking tribes, who built trade links leading into the Congo River basin. Congo-Brazzaville was formerly part of the French colony of Equatorial Africa. Upon independence in 1960, the former colony of French Congo became the Republic of the Congo. The People's Republic of the Congo was a Marxist–Leninist one-party state from 1970 to 1991. Multi-party elections have been held since 1992, although a democratically elected government was ousted in the 1997 Republic of the Congo Civil War and President Denis Sassou Nguesso has ruled for 26 of the past 36 years.	7245
14	"[{""answer"": ""90%"", ""question"": ""How much of the vote did Sassou win in 2002?""}, {""answer"": ""Andre Milongo"", ""question"": ""Who advised Sassou supporters to boycott the elections?""}, {""answer"": ""January 2002"", ""question"": ""When was a new constitution agreed upon?""}, {""answer"": ""Congo's era of the one-party state"", ""question"": ""What era was the constitutional referendum reminiscent of?""}, {""answer"": ""Pastor Ntumi"", ""question"": ""Who led the rebels in the Pool region?""}]"	In the controversial elections in 2002, Sassou won with almost 90% of the vote cast. His two main rivals, Lissouba and Bernard Kolelas, were prevented from competing and the only remaining credible rival, Andre Milongo, advised his supporters to boycott the elections and then withdrew from the race. A new constitution, agreed upon by referendum in January 2002, granted the president new powers, extended his term to seven years, and introduced a new bicameral assembly. International observers took issue with the organization of the presidential election and the constitutional referendum, both of which were reminiscent in their organization of Congo's era of the one-party state. Following the presidential elections, fighting restarted in the Pool region between government forces and rebels led by Pastor Ntumi; a peace treaty to end the conflict was signed in April 2003.	7298
15	"[{""answer"": ""July 2009"", ""question"": ""When did Sassou win the presidential election?""}, {""answer"": ""\""very low\"" turnout and \""fraud and irregularities\"""", ""question"": ""What did the Congolese Observatory of Human Rights say the election was marked by?""}, {""answer"": ""Congolese Observatory of Human Rights"", ""question"": ""What is the name of the non-governmental organization Sassou won?""}]"	"Sassou also won the following presidential election in July 2009. According to the Congolese Observatory of Human Rights, a non-governmental organization, the election was marked by ""very low"" turnout and ""fraud and irregularities""."	7302
16	"[{""answer"": ""Denis Sassou Nguesso"", ""question"": ""Who is the president of Congo-Brazzaville?""}, {""answer"": ""Congolese Labour Party"", ""question"": ""Who is Sassou Nguesso backed by?""}]"	Congo-Brazzaville has had a multi-party political system since the early 1990s, although the system is heavily dominated by President Denis Sassou Nguesso; he has lacked serious competition in the presidential elections held under his rule. Sassou Nguesso is backed by his own Congolese Labour Party (French: Parti Congolais du Travail) as well as a range of smaller parties.	7305
17	"[{""answer"": ""corruption revelations"", ""question"": ""What has Sassou's regime been hit by?""}, {""answer"": ""over 110"", ""question"": ""How many bank accounts did one French investigation find?""}]"	"Internationally, Sassou's regime has been hit by corruption revelations despite attempts to censor them. One French investigation found over 110 bank accounts and dozens of lavish properties in France; Sassou denounced embezzlement investigations as ""racist"" and ""colonial""."	7308
18	"[{""answer"": ""March 27, 2015"", ""question"": ""On what date did Sassou Nguesso announce that his government would hold a referendum?""}, {""answer"": ""October 25"", ""question"": ""On what date did the government hold a referendum to allow Sassou Nguesso to run in the next election?""}, {""answer"": ""72"", ""question"": ""How many eligible voters participated in the referendum?""}, {""answer"": ""the government's statistics were false"", ""question"": ""What did the opposition claim was a sham?""}]"	On March 27, 2015 Sassou Nguesso announced that his government would hold a referendum to change the country's 2002 constitution and allow him to run for a third consecutive term in office. On October 25 the government held a referendum to allow Sassou Nguesso to run in the next election. The government claimed that the proposal as approved by 92 percent of voters with 72 percent of eligible voters participating. The opposition, who had boycotted the referendum claimed that the government's statistics were false and that the vote was a sham.	7310
19	"[{""answer"": ""senior minister of cabinet"", ""question"": ""What is a prime minister most likely to be in the executive branch of government?""}, {""answer"": ""selects and may dismiss other members of the cabinet"", ""question"": ""What does the prime minister select in many systems?""}, {""answer"": ""the prime minister is the presiding member and chairman of the cabinet"", ""question"": ""Who is the prime minister in most systems?""}, {""answer"": ""the official who is appointed to manage the civil service and execute the directives of the head of state"", ""question"": ""What is a prime minister in semi-presidential systems of government?""}]"	A prime minister is the most senior minister of cabinet in the executive branch of government, often in a parliamentary or semi-presidential system. In many systems, the prime minister selects and may dismiss other members of the cabinet, and allocates posts to members within the government. In most systems, the prime minister is the presiding member and chairman of the cabinet. In a minority of systems, notably in semi-presidential systems of government, a prime minister is the official who is appointed to manage the civil service and execute the directives of the head of state.	7385
20	"[{""answer"": ""the Westminster system"", ""question"": ""What type of system is the prime minister fashioned after?""}, {""answer"": ""the prime minister"", ""question"": ""Who is the presiding and actual head of government and head of the executive branch?""}, {""answer"": ""the head of state"", ""question"": ""Who is the head of state's official representative?""}, {""answer"": ""largely ceremonial"", ""question"": ""What type of position does the head of state or the head of state's official representative hold?""}]"	In parliamentary systems fashioned after the Westminster system, the prime minister is the presiding and actual head of government and head of the executive branch. In such systems, the head of state or the head of state's official representative (i.e. the monarch, president, or governor-general) usually holds a largely ceremonial position, although often with reserve powers.	7388
21	"[{""answer"": ""parliament"", ""question"": ""What type of parliament is the prime minister often a member of?""}, {""answer"": ""executive powers"", ""question"": ""What does the monarch exercise in some monarchies?""}]"	The prime minister is often, but not always, a member of parliament[clarification needed] and is expected with other ministers to ensure the passage of bills through the legislature. In some monarchies the monarch may also exercise executive powers (known as the royal prerogative) that are constitutionally vested in the crown and may be exercised without the approval of parliament.	7390
22	"[{""answer"": ""First Lord of the Treasury"", ""question"": ""Who is the Prime Minister of the United Kingdom?""}, {""answer"": ""Benjamin Netanyahu"", ""question"": ""Who serves as Minister of Communications, Foreign Affairs, Regional Cooperation, Economy and Interior?""}]"	As well as being head of government, a prime minister may have other roles or titles—the Prime Minister of the United Kingdom, for example, is also First Lord of the Treasury and Minister for the Civil Service. Prime ministers may take other ministerial posts—for example, during the Second World War, Winston Churchill was also Minister of Defence (although there was then no Ministry of Defence), and in the current cabinet of Israel, Benjamin Netanyahu also serves as Minister of Communications, Foreign Affairs, Regional Cooperation, Economy and Interior	7393
23	"[{""answer"": ""Cardinal Richelieu"", ""question"": ""Who used the term Premier Ministre?""}, {""answer"": ""1625"", ""question"": ""When was Cardinal Richelieu named to head the royal council as prime minister of France?""}, {""answer"": ""Louis XIV"", ""question"": ""Who attempted to avoid giving this title to their chief ministers?""}]"	The first actual usage of the term prime minister or Premier Ministre[citation needed] was used by Cardinal Richelieu when in 1625 he was named to head the royal council as prime minister of France. Louis XIV and his descendants generally attempted to avoid giving this title to their chief ministers.	7395
24	"[{""answer"": ""the head of the government"", ""question"": ""What were the monarchs of England and the United Kingdom regarded as?""}, {""answer"": ""Henry VIII"", ""question"": ""Who was Thomas Cromwell under?""}, {""answer"": ""William Cecil"", ""question"": ""Who was the head of the government?""}, {""answer"": ""the minister"", ""question"": ""What were the ministers commonly known as?""}]"	"The monarchs of England and the United Kingdom had ministers in whom they placed special trust and who were regarded as the head of the government. Examples were Thomas Cromwell under Henry VIII; William Cecil, Lord Burghley under Elizabeth I; Clarendon under Charles II and Godolphin under Queen Anne. These ministers held a variety of formal posts, but were commonly known as ""the minister"", the ""chief minister"", the ""first minister"" and finally the ""prime minister""."	7401
25	"[{""answer"": ""the monarch"", ""question"": ""Who was responsible for the power of ministers?""}, {""answer"": ""managing the parliament"", ""question"": ""What was among the necessary skills of holding high office?""}, {""answer"": ""the monarch"", ""question"": ""Who appointed the cabinet?""}]"	The power of these ministers depended entirely on the personal favour of the monarch. Although managing the parliament was among the necessary skills of holding high office, they did not depend on a parliamentary majority for their power. Although there was a cabinet, it was appointed entirely by the monarch, and the monarch usually presided over its meetings.	7404
26	"[{""answer"": ""Clarendon"", ""question"": ""Who was driven into exile after Cromwell was executed?""}, {""answer"": ""Cromwell"", ""question"": ""Who was executed and Clarendon driven into exile when they lost favour?""}, {""answer"": ""two or more"", ""question"": ""How many ministers did Kings divide power?""}, {""answer"": ""Harley and St John"", ""question"": ""Which Tory ministers shared power in Anne's reign?""}]"	When the monarch grew tired of a first minister, he or she could be dismissed, or worse: Cromwell was executed and Clarendon driven into exile when they lost favour. Kings sometimes divided power equally between two or more ministers to prevent one minister from becoming too powerful. Late in Anne's reign, for example, the Tory ministers Harley and St John shared power.	7406
27	"[{""answer"": ""1688"", ""question"": ""When did the Glorious Revolution begin?""}, {""answer"": ""1689"", ""question"": ""When was the Bill of Rights passed?""}, {""answer"": ""1642\u20131651"", ""question"": ""When was the English Civil War?""}, {""answer"": ""House of Commons"", ""question"": ""Who became a part of the government?""}, {""answer"": ""prime minister"", ""question"": ""What style of government begins to emerge at this point?""}]"	In the mid 17th century, after the English Civil War (1642–1651), Parliament strengthened its position relative to the monarch then gained more power through the Glorious Revolution of 1688 and passage of the Bill of Rights in 1689. The monarch could no longer establish any law or impose any tax without its permission and thus the House of Commons became a part of the government. It is at this point that a modern style of prime minister begins to emerge.	7408
28	"[{""answer"": ""Robert Walpole"", ""question"": ""Who was the Whig politician from 1721?""}, {""answer"": ""House of Commons"", ""question"": ""Where did Robert Walpole pack with his supporters?""}, {""answer"": ""doctrine of cabinet solidarity"", ""question"": ""What doctrine developed under Walpole?""}, {""answer"": ""resign"", ""question"": ""What did Walpole require when the cabinet agreed on a policy?""}, {""answer"": ""Lord Melbourne"", ""question"": ""Who was the later prime minister?""}]"	"From 1721 this was the Whig politician Robert Walpole, who held office for twenty-one years. Walpole chaired cabinet meetings, appointed all the other ministers, dispensed the royal patronage and packed the House of Commons with his supporters. Under Walpole, the doctrine of cabinet solidarity developed. Walpole required that no minister other than himself have private dealings with the king, and also that when the cabinet had agreed on a policy, all ministers must defend it in public, or resign. As a later prime minister, Lord Melbourne, said, ""It matters not what we say, gentlemen, so long as we all say the same thing."""	7414
29	"[{""answer"": ""Walpole"", ""question"": ""Who denied that he was \""prime minister\""?""}, {""answer"": ""the increasing complexity and expense of government"", ""question"": ""Why was a minister who could command the loyalty of the Commons increasingly necessary?""}, {""answer"": ""William Pitt the Younger"", ""question"": ""Who was the wartime prime minister?""}, {""answer"": ""1905"", ""question"": ""When did William Pitt the Younger appear in the British Order of precedence?""}]"	"Walpole always denied that he was ""prime minister"", and throughout the 18th century parliamentarians and legal scholars continued to deny that any such position was known to the Constitution. George II and George III made strenuous efforts to reclaim the personal power of the monarch, but the increasing complexity and expense of government meant that a minister who could command the loyalty of the Commons was increasingly necessary. The long tenure of the wartime prime minister William Pitt the Younger (1783–1801), combined with the mental illness of George III, consolidated the power of the post. The title was first referred to on government documents during the administration of Benjamin Disraeli but did not appear in the formal British Order of precedence until 1905."	7419
30	"[{""answer"": ""a constitutional monarchy or a ceremonial president"", ""question"": ""What type of monarchy did the majority of the world's countries have a prime minister?""}, {""answer"": ""the president directly exercises executive authority"", ""question"": ""What is the main exception to the U.S. system?""}]"	By the late 20th century, the majority of the world's countries had a prime minister or equivalent minister, holding office under either a constitutional monarchy or a ceremonial president. The main exceptions to this system have been the United States and the presidential republics in Latin America modelled on the U.S. system, in which the president directly exercises executive authority.	7423
31	"[{""answer"": ""1970"", ""question"": ""When did Sheikh Khalifah bin Sulman Al Khalifah become the longest serving non-elected prime minister?""}, {""answer"": ""Sheikh Khalifah bin Sulman Al Khalifah"", ""question"": ""Who is the longest serving non-elected prime minister in Bahrain?""}, {""answer"": ""1970"", ""question"": ""When did Sheikh Khalifah bin Sulman Al Khalifah become the longest serving non-elected prime minister?""}]"	Bahrain's prime minister, Sheikh Khalifah bin Sulman Al Khalifah has been in the post since 1970, making him the longest serving non-elected prime minister.	7424
32	"[{""answer"": ""the president (or equivalent) is both the head of state and the head of the government"", ""question"": ""Who is the head of state and the head of the government?""}, {""answer"": ""the prime minister"", ""question"": ""Who is an official generally appointed by the president?""}, {""answer"": ""the Premier of the State Council"", ""question"": ""What is the head of government of the People's Republic of China called?""}]"	This contrasts with the presidential system, in which the president (or equivalent) is both the head of state and the head of the government. In some presidential or semi-presidential systems, such as those of France, Russia or South Korea, the prime minister is an official generally appointed by the president but usually approved by the legislature and responsible for carrying out the directives of the president and managing the civil service. The head of government of the People's Republic of China is referred to as the Premier of the State Council and the premier of the Republic of China (Taiwan) is also appointed by the president, but requires no approval by the legislature.	7429
33	"[{""answer"": ""the parliament"", ""question"": ""Who does the appointment of the prime minister of France require?""}, {""answer"": ""different political parties"", ""question"": ""What type of parties can the president and the prime minister be from?""}, {""answer"": ""cohabitation"", ""question"": ""What is a state of affairs usually referred to as when it arises?""}]"	Appointment of the prime minister of France requires no approval by the parliament either, but the parliament may force the resignation of the government. In these systems, it is possible for the president and the prime minister to be from different political parties if the legislature is controlled by a party different from that of the president. When it arises, such a state of affairs is usually referred to as (political) cohabitation.	7432
34	"[{""answer"": ""the process of his/her appointment and dismissal"", ""question"": ""What does Bangladesh's constitution detail?""}, {""answer"": ""the functions and powers of the Prime Minister"", ""question"": ""What does Bangladesh's constitution clearly outline?""}]"	Bangladesh's constitution clearly outlines the functions and powers of the Prime Minister, and also details the process of his/her appointment and dismissal.	7434
35	"[{""answer"": ""the process of his/her appointment and dismissal"", ""question"": ""What does the Czech Republic's constitution detail?""}, {""answer"": ""the Prime Minister of the Czech Republic"", ""question"": ""Who is the Prime Minister of the Czech Republic?""}]"	Czech Republic's constitution clearly outlines the functions and powers of the Prime Minister of the Czech Republic, and also details the process of his/her appointment and dismissal.	7441
36	"[{""answer"": ""uncodified and largely unwritten"", ""question"": ""What is the United Kingdom's constitution?""}, {""answer"": ""first decade of the twentieth century"", ""question"": ""When did the first mention of a prime minister occur?""}, {""answer"": ""not to exist"", ""question"": ""What is often said in the United Kingdom's constitution?""}, {""answer"": ""Chancellor of the Exchequer"", ""question"": ""Who is the last prime minister of the United Kingdom?""}]"	"The United Kingdom's constitution, being uncodified and largely unwritten, makes no mention of a prime minister. Though it had de facto existed for centuries, its first mention in official state documents did not occur until the first decade of the twentieth century. Accordingly, it is often said ""not to exist"", indeed there are several instances of parliament declaring this to be the case. The prime minister sits in the cabinet solely by virtue of occupying another office, either First Lord of the Treasury (office in commission), or more rarely Chancellor of the Exchequer (the last of whom was Balfour in 1905)."	7442
37	"[{""answer"": ""elections and parliaments"", ""question"": ""What types of elections are most prime ministers in parliamentary systems not appointed for a specific term in office?""}, {""answer"": ""1979"", ""question"": ""When was Margaret Thatcher appointed prime minister?""}, {""answer"": ""1990"", ""question"": ""When did Margaret Thatcher remain in power?""}]"	Most prime ministers in parliamentary systems are not appointed for a specific term in office and in effect may remain in power through a number of elections and parliaments. For example, Margaret Thatcher was only ever appointed prime minister on one occasion, in 1979. She remained continuously in power until 1990, though she used the assembly of each House of Commons after a general election to reshuffle her cabinet.	7445
38	"[{""answer"": ""term of office of the prime minister"", ""question"": ""What is the term of the prime minister in some states?""}, {""answer"": ""every general election"", ""question"": ""When is the Irish Taoiseach formally'renominated'?""}, {""answer"": ""the political party that commands majority of seats in the lower house of parliament"", ""question"": ""What is the position of prime minister normally chosen from?""}]"	Some states, however, do have a term of office of the prime minister linked to the period in office of the parliament. Hence the Irish Taoiseach is formally 'renominated' after every general election. (Some constitutional experts have questioned whether this process is actually in keeping with the provisions of the Irish constitution, which appear to suggest that a taoiseach should remain in office, without the requirement of a renomination, unless s/he has clearly lost the general election.) The position of prime minister is normally chosen from the political party that commands majority of seats in the lower house of parliament.	7449
39	"[{""answer"": ""lower house of parliament"", ""question"": ""Where are governments required to have the confidence of?""}, {""answer"": ""vote of confidence"", ""question"": ""Where do governments lose a motion of no confidence passed against them?""}]"	In parliamentary systems, governments are generally required to have the confidence of the lower house of parliament (though a small minority of parliaments, by giving a right to block supply to upper houses, in effect make the cabinet responsible to both houses, though in reality upper houses, even when they have the power, rarely exercise it). Where they lose a vote of confidence, have a motion of no confidence passed against them, or where they lose supply, most constitutional systems require either:	7452
40	"[{""answer"": ""appeal the opposition of parliament to the electorate"", ""question"": ""What does the government have to do with a parliamentary dissolution?""}, {""answer"": ""resignation"", ""question"": ""What does a head of state require for a parliamentary dissolution?""}, {""answer"": ""the prime minister"", ""question"": ""Who decides when to request a parliamentary dissolution?""}]"	The latter in effect allows the government to appeal the opposition of parliament to the electorate. However, in many jurisdictions a head of state may refuse a parliamentary dissolution, requiring the resignation of the prime minister and his or her government. In most modern parliamentary systems, the prime minister is the person who decides when to request a parliamentary dissolution.	7455
41	"[{""answer"": ""Older constitutions"", ""question"": ""What type of constitutions often vest power in the cabinet?""}, {""answer"": ""1918"", ""question"": ""When did the prime minister request a dissolution of parliament?""}, {""answer"": ""entire government"", ""question"": ""Who made the request?""}, {""answer"": ""1922"", ""question"": ""When did the Irish Free State Constitution vested the power in the Executive Council?""}]"	Older constitutions often vest this power in the cabinet. In the United Kingdom, for example, the tradition whereby it is the prime minister who requests a dissolution of parliament dates back to 1918. Prior to then, it was the entire government that made the request. Similarly, though the modern 1937 Irish constitution grants to the Taoiseach the right to make the request, the earlier 1922 Irish Free State Constitution vested the power in the Executive Council (the then name for the Irish cabinet).	7458
42	"[{""answer"": ""Tony Abbott, Julia Gillard and Kevin Rudd"", ""question"": ""Who are some of the prime ministers expected to step down if he loses the majority support of his party?""}, {""answer"": ""if s/he loses the majority support of his/her party"", ""question"": ""What is the prime minister expected to step down in Australia?""}]"	In Australia, the Prime Minister is expected to step down if s/he loses the majority support of his/her party under a spill motion as have many such as Tony Abbott, Julia Gillard and Kevin Rudd.	7462
